Title,Company,Location,Link
b'Data Scientist',b'Tredence Inc.',"b'Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-scientist-at-tredence-inc-3464007729?refId=9YcAO3BUfOpNl%2FkkF4neoQ%3D%3D&trackingId=XSDxFtZGEyq2m3EXv5snmQ%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Scientist',b'Tredence Inc.',"b'Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-scientist-at-tredence-inc-3464007729?refId=zv4qO9CjQmB2Hi4KkVYL3w%3D%3D&trackingId=NsGsP%2BcNm5vsk65Tn%2F7%2FxQ%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Scientist',b'Tredence Inc.',"b'Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-scientist-at-tredence-inc-3464007729?refId=HP03OtCC7445ae5FN1IUUA%3D%3D&trackingId=ooqB9Sy9uRu4LOqXjh9gYw%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card'
Title,Company,Location,Link
b'Data Scientist',b'Tredence Inc.',"b'Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-scientist-at-tredence-inc-3464007729?refId=sIHhMreqkwQudX4pSoEnXg%3D%3D&trackingId=MNLCOSTodNjlBJfCJolgNw%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Scientist',b'Tredence Inc.',"b'Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-scientist-at-tredence-inc-3464007729?refId=4iL8l5v%2BSrOO1btEyQjERw%3D%3D&trackingId=1m1XRhNbwGrfzi8981bkgw%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Scientist',b'Tredence Inc.',"b'Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-scientist-at-tredence-inc-3464007729?refId=nDl%2BqRrB815eELl7cU94pg%3D%3D&trackingId=DU6AE17t3yAhsJMpWROctQ%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card'
Title,Company,Location,Link
b'Data Scientist',b'Tredence Inc.',"b'Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-scientist-at-tredence-inc-3464007729?refId=4C3s1gzWOOkuiirXHPTF1A%3D%3D&trackingId=XR0VT3pza5XVxgSKFUlJ4w%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Scientist',b'Tredence Inc.',"b'Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-scientist-at-tredence-inc-3464007729?refId=giL9Zw4WcundHU25TriK9A%3D%3D&trackingId=PyG2U65caotuCwinxLzbZQ%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card'
Title,Company,Location,Link
b'Data & Content Coordinator',b'veritree',"b'Vancouver, British Columbia, Canada'",b'https://ca.linkedin.com/jobs/view/data-content-coordinator-at-veritree-3456214234?refId=zMjVNry43nEstOXqlaUsXA%3D%3D&trackingId=1%2BG6rbin3dCpJD8pFKYpmA%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Scientist',b'Tredence Inc.',"b'Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-scientist-at-tredence-inc-3464007729?refId=msR3IolJTxVhY7m9AQc1Mw%3D%3D&trackingId=SVXUt0KSn8yIQa7Jkztp6g%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Scientist',b'Tredence Inc.',"b'Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-scientist-at-tredence-inc-3464007729?refId=zapWE9ZPiqa%2Fs4wKLhhoZQ%3D%3D&trackingId=ih%2B%2FMj4N%2FOot9R322hK8SQ%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card'
